delx,dely,alpha,kde.bw,kde.lags,horizon,crime.type, pei,pai
250,250,0,500,1,1w,all,0.425,35.977
250,250,0,500,1,1w,street,0.275,49.651
250,250,0,500,1,1w,burglary,0.364,213.911
250,250,0,500,1,1w,vehicle,0.064,37.548
250,250,0,500,1,2w,all,0.479,35.603
250,250,0,500,1,2w,street,0.311,46.224
250,250,0,500,1,2w,burglary,0.143,84.036
250,250,0,500,1,2w,vehicle,0.054,31.97
250,250,0,500,1,1m,all,0.505,35.061
250,250,0,500,1,1m,street,0.419,47.357
250,250,0,500,1,1m,burglary,0.056,33.141
250,250,0,500,1,1m,vehicle,0.059,20.285
250,250,0,500,1,2m,all,0.538,35.377
250,250,0,500,1,2m,street,0.48,48.949
250,250,0,500,1,2m,burglary,0.034,17.43
250,250,0,500,1,2m,vehicle,0.062,13.523
250,250,0,500,1,3m,all,0.549,35.536
250,250,0,500,1,3m,street,0.505,48.281
250,250,0,500,1,3m,burglary,0.034,13.369
250,250,0,500,1,3m,vehicle,0.098,16.661
250,250,0,800,1,1w,all,0.372,31.461
250,250,0,800,1,1w,street,0.251,45.333
250,250,0,800,1,1w,burglary,0.182,106.955
250,250,0,800,1,1w,vehicle,0.064,37.548
250,250,0,800,1,2w,all,0.412,30.654
250,250,0,800,1,2w,street,0.311,46.224
250,250,0,800,1,2w,burglary,0.071,42.018
250,250,0,800,1,2w,vehicle,0.054,31.97
250,250,0,800,1,1m,all,0.437,30.347
250,250,0,800,1,1m,street,0.409,46.197
250,250,0,800,1,1m,burglary,0.028,16.571
250,250,0,800,1,1m,vehicle,0.051,17.387
250,250,0,800,1,2m,all,0.473,31.118
250,250,0,800,1,2m,street,0.462,47.112
250,250,0,800,1,2m,burglary,0.017,8.715
250,250,0,800,1,2m,vehicle,0.055,11.833
250,250,0,800,1,3m,all,0.489,31.655
250,250,0,800,1,3m,street,0.486,46.472
250,250,0,800,1,3m,burglary,0.026,10.027
250,250,0,800,1,3m,vehicle,0.09,15.379
250,250,0,1000,1,1w,all,0.385,32.551
250,250,0,1000,1,1w,street,0.287,51.81
250,250,0,1000,1,1w,burglary,0,0
250,250,0,1000,1,1w,vehicle,0.021,12.516
250,250,0,1000,1,2w,all,0.42,31.213
250,250,0,1000,1,2w,street,0.341,50.626
250,250,0,1000,1,2w,burglary,0,0
250,250,0,1000,1,2w,vehicle,0.033,19.182
250,250,0,1000,1,1m,all,0.439,30.487
250,250,0,1000,1,1m,street,0.425,48.054
250,250,0,1000,1,1m,burglary,0,0
250,250,0,1000,1,1m,vehicle,0.034,11.591
250,250,0,1000,1,2m,all,0.463,30.431
250,250,0,1000,1,2m,street,0.492,50.138
250,250,0,1000,1,2m,burglary,0,0
250,250,0,1000,1,2m,vehicle,0.055,11.833
250,250,0,1000,1,3m,all,0.477,30.846
250,250,0,1000,1,3m,street,0.51,48.831
250,250,0,1000,1,3m,burglary,0.009,3.342
250,250,0,1000,1,3m,vehicle,0.09,15.379
250,425,0,500,1,1w,all,0.539,34.359
250,425,0,500,1,1w,street,0.321,46.33
250,425,0,500,1,1w,burglary,0.273,160.147
250,425,0,500,1,1w,vehicle,0.064,37.481
250,425,0,500,1,2w,all,0.575,33.149
250,425,0,500,1,2w,street,0.413,44.494
250,425,0,500,1,2w,burglary,0.143,83.886
250,425,0,500,1,2w,vehicle,0.074,31.913
250,425,0,500,1,1m,all,0.608,32.593
250,425,0,500,1,1m,street,0.522,46.114
250,425,0,500,1,1m,burglary,0.059,33.082
250,425,0,500,1,1m,vehicle,0.099,20.248
250,425,0,500,1,2m,all,0.646,33.274
250,425,0,500,1,2m,street,0.582,46.597
250,425,0,500,1,2m,burglary,0.056,17.399
250,425,0,500,1,2m,vehicle,0.086,11.812
250,425,0,500,1,3m,all,0.659,33.378
250,425,0,500,1,3m,street,0.612,46.468
250,425,0,500,1,3m,burglary,0.07,16.682
250,425,0,500,1,3m,vehicle,0.125,14.072
250,425,0,800,1,1w,all,0.476,30.316
250,425,0,800,1,1w,street,0.299,43.098
250,425,0,800,1,1w,burglary,0.182,106.765
250,425,0,800,1,1w,vehicle,0.064,37.481
250,425,0,800,1,2w,all,0.501,28.926
250,425,0,800,1,2w,street,0.429,46.141
250,425,0,800,1,2w,burglary,0.071,41.943
250,425,0,800,1,2w,vehicle,0.074,31.913
250,425,0,800,1,1m,all,0.544,29.142
250,425,0,800,1,1m,street,0.525,46.346
250,425,0,800,1,1m,burglary,0.029,16.541
250,425,0,800,1,1m,vehicle,0.085,17.356
