delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
250,250,0.5,0.5,0,50,1e-06,1e-04,0.5,250,all,1,3,0.0431034482758621,22.1148073523093
250,250,0.5,0.5,0,50,1e-04,1e-04,0.5,250,all,1,3,0.0172413793103448,8.84592294092374
250,250,0.5,0.5,0,50,0.001,1e-04,0.5,250,all,1,3,0.0172413793103448,8.84592294092374
250,250,0.5,0.5,0,50,0.005,1e-04,0.5,250,all,1,3,0.0172413793103448,8.84592294092374
250,250,0.5,0.5,0,50,1e-05,1e-06,0.5,250,all,1,3,0.0258620689655172,13.2688844113856
250,250,0.5,0.5,0,50,1e-05,5e-06,0.5,250,all,1,3,0.0689655172413793,35.383691763695
250,250,0.5,0.5,0,50,1e-05,1e-05,0.5,250,all,1,3,0.0603448275862069,30.9607302932331
250,250,0.5,0.5,0,50,1e-05,5e-05,0.5,250,all,1,3,0.0344827586206897,17.6918458818475
250,250,0.5,0.5,0,50,1e-05,5e-04,0.5,250,all,1,3,0.0517241379310345,26.5377688227712
250,250,0.5,0.5,0,50,1e-05,1e-04,0.25,250,all,1,3,0.0517241379310345,26.5377688227712
250,250,0.5,0.5,0,50,1e-05,1e-04,0.33,250,all,1,3,0.0517241379310345,26.5377688227712
250,250,0.5,0.5,0,50,1e-05,1e-04,0.5,250,all,1,3,0.0344827586206897,17.6918458818475
250,250,0.5,0.5,0,50,1e-05,1e-04,0.66,250,all,1,3,0.0344827586206897,17.6918458818475
250,250,0.5,0.5,0,50,1e-05,1e-04,0.75,250,all,1,3,0.0517241379310345,26.5377688227712
250,250,0.5,0.5,0,50,1e-05,1e-04,1,250,all,1,3,0.0258620689655172,13.2688844113856
425,425,0.75,1.25,0.785,125,1e-06,1e-04,0.5,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-04,1e-04,0.5,375,all,3,16,0.0454545454545455,8.79019935572228
425,425,0.75,1.25,0.785,125,0.001,1e-04,0.5,375,all,3,16,0.0227272727272727,4.39509967786114
425,425,0.75,1.25,0.785,125,0.005,1e-04,0.5,375,all,3,16,0.0227272727272727,4.39509967786114
425,425,0.75,1.25,0.785,125,1e-05,1e-06,0.5,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-05,5e-06,0.5,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-05,1e-05,0.5,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-05,5e-05,0.5,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-05,5e-04,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.25,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.33,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.5,375,all,3,16,0.0681818181818182,13.1852990335834
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.66,375,all,3,16,0.0681818181818182,13.1852990335834
