delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
250,250,0.5,0.5,0,50,1e-06,1e-04,0.5,250,all,1,3,0.0413223140495868,14.0730592241969
250,250,0.5,0.5,0,50,1e-04,1e-04,0.5,250,all,1,3,0.0413223140495868,14.0730592241969
250,250,0.5,0.5,0,50,0.001,1e-04,0.5,250,all,1,3,0.0330578512396694,11.2584473793575
250,250,0.5,0.5,0,50,0.005,1e-04,0.5,250,all,1,3,0.00826446280991736,2.81461184483937
250,250,0.5,0.5,0,50,1e-05,1e-06,0.5,250,all,1,3,0.0330578512396694,11.2584473793575
250,250,0.5,0.5,0,50,1e-05,5e-06,0.5,250,all,1,3,0.0413223140495868,14.0730592241969
250,250,0.5,0.5,0,50,1e-05,1e-05,0.5,250,all,1,3,0.0330578512396694,11.2584473793575
250,250,0.5,0.5,0,50,1e-05,5e-05,0.5,250,all,1,3,0.0495867768595041,16.8876710690362
250,250,0.5,0.5,0,50,1e-05,5e-04,0.5,250,all,1,3,0.0247933884297521,8.44383553451811
250,250,0.5,0.5,0,50,1e-05,1e-04,0.25,250,all,1,3,0.0330578512396694,11.2584473793575
250,250,0.5,0.5,0,50,1e-05,1e-04,0.33,250,all,1,3,0.0413223140495868,14.0730592241969
250,250,0.5,0.5,0,50,1e-05,1e-04,0.5,250,all,1,3,0.0413223140495868,14.0730592241969
250,250,0.5,0.5,0,50,1e-05,1e-04,0.66,250,all,1,3,0.0578512396694215,19.7022829138756
250,250,0.5,0.5,0,50,1e-05,1e-04,0.75,250,all,1,3,0.0495867768595041,16.8876710690362
250,250,0.5,0.5,0,50,1e-05,1e-04,1,250,all,1,3,0.00826446280991736,2.81461184483937
425,425,0.75,1.25,0.785,125,1e-06,1e-04,0.5,375,all,3,16,0.0652173913043478,8.39064483955309
425,425,0.75,1.25,0.785,125,1e-04,1e-04,0.5,375,all,3,16,0.0652173913043478,8.39064483955309
425,425,0.75,1.25,0.785,125,0.001,1e-04,0.5,375,all,3,16,0.0434782608695652,5.59376322636873
425,425,0.75,1.25,0.785,125,0.005,1e-04,0.5,375,all,3,16,0.108695652173913,13.9844080659218
425,425,0.75,1.25,0.785,125,1e-05,1e-06,0.5,375,all,3,16,0.0217391304347826,2.79688161318436
425,425,0.75,1.25,0.785,125,1e-05,5e-06,0.5,375,all,3,16,0.0217391304347826,2.79688161318436
425,425,0.75,1.25,0.785,125,1e-05,1e-05,0.5,375,all,3,16,0.0434782608695652,5.59376322636873
425,425,0.75,1.25,0.785,125,1e-05,5e-05,0.5,375,all,3,16,0.0869565217391304,11.1875264527375
425,425,0.75,1.25,0.785,125,1e-05,5e-04,0.5,375,all,3,16,0.0217391304347826,2.79688161318436
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.25,375,all,3,16,0.0434782608695652,5.59376322636873
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.33,375,all,3,16,0.0652173913043478,8.39064483955309
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.5,375,all,3,16,0.0652173913043478,8.39064483955309
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.66,375,all,3,16,0.0217391304347826,2.79688161318436
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.75,375,all,3,16,0.0217391304347826,2.79688161318436
425,425,0.75,1.25,0.785,125,1e-05,1e-04,1,375,all,3,16,0.0217391304347826,2.79688161318436
250,574.680207504,1,0.5,1.57,50,1e-06,1e-04,0.5,500,all,6,30,0,0
250,574.680207504,1,0.5,1.57,50,1e-04,1e-04,0.5,500,all,6,30,0.0338983050847458,5.59737260696003
250,574.680207504,1,0.5,1.57,50,0.001,1e-04,0.5,500,all,6,30,0.101694915254237,16.7921178208801
250,574.680207504,1,0.5,1.57,50,0.005,1e-04,0.5,500,all,6,30,0.0338983050847458,5.59737260696003
