train_set,delx,dely,alpha,eta,lt,theta,k,l1,l2,kde.bw,kde.lags,kde.win,pei,pai
train_13,125,125,0,0.5,7,0,50,0,0,250,3,10,0.194991055456172,64.912239287515
train_13,125,125,0,0.5,7,0,50,0,1e-05,250,3,10,0.0876565295169946,29.1807314228278
train_13,125,125,0,0.5,7,0,50,0,5e-05,250,3,10,0.0214669051878354,7.14630157293743
train_13,125,125,0,0.5,7,0,50,0,1e-04,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,0,5e-04,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,0,0.001,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,1e-05,0,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,1e-05,1e-05,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,1e-05,5e-05,250,3,10,0.0214669051878354,7.14630157293743
train_13,125,125,0,0.5,7,0,50,1e-05,1e-04,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,1e-05,5e-04,250,3,10,0.0214669051878354,7.14630157293743
train_13,125,125,0,0.5,7,0,50,1e-05,0.001,250,3,10,0.0196779964221825,6.55077644185931
train_13,125,125,0,0.5,7,0,50,5e-05,0,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,5e-05,1e-05,250,3,10,0.0214669051878354,7.14630157293743
train_13,125,125,0,0.5,7,0,50,5e-05,5e-05,250,3,10,0.0232558139534884,7.74182670401555
train_13,125,125,0,0.5,7,0,50,5e-05,1e-04,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,5e-05,5e-04,250,3,10,0.0196779964221825,6.55077644185931
train_13,125,125,0,0.5,7,0,50,5e-05,0.001,250,3,10,0.0143112701252236,4.76420104862495
train_13,125,125,0,0.5,7,0,50,1e-04,0,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,1e-04,1e-05,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,1e-04,5e-05,250,3,10,0.0232558139534884,7.74182670401555
train_13,125,125,0,0.5,7,0,50,1e-04,1e-04,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,1e-04,5e-04,250,3,10,0.0161001788908766,5.35972617970307
